Turn,#animals,#food,avgAE,avgET,avgH,avgV,avgML,avgL,avgFE,avgGen,maxAE,maxET,maxH,maxV,maxML,maxFE,maxGen,minAE,minET,minH,minV,minML,minFE,minGen,totalAE,totalFE,totalE,totalCombat,,nfactor ,min_bound,avg_bound,max_bound
65,804,346,40.7900845,30.06218905,6.31318408,12.29895522,40.51243781,15.94987562,67.33599326,11.95024876,496.6318099,76,9.3,14.36,50.5,368.646274,17,0.606314959,1,1,9.76,22,0.075539192,7,32795.22794,23298.25367,56093.48161,4661.8,,5.798258706,1286.4,8121.28,11963.52
66,779,351,42.01658931,29.71758665,6.287804878,12.31450578,40.3703466,17.04608472,65.62342866,12.11039795,496.6318099,76,9.3,14.36,50.5,408.8009976,17,0.521734156,1,1.8,9.82,22,0.324076009,7,32730.92308,23033.82346,55764.74653,4880.8,,6.265468549,2804.4,9796.4,14489.4
67,768,364,41.20930735,29.13802083,6.283854167,12.26015625,40.36979167,16.81015625,65.38283035,12.32552083,461.516291,76,9.4,14.42,50.5,496.6318099,17,0.294379284,1,1.8,9.76,22,0.344681646,7,31648.74804,23799.35025,55448.09829,4191.8,,5.458072917,2211.84,7721.6,11550.72
68,772,372,41.26415862,29.13341969,6.305958549,12.2796114,40.46437824,16.25841969,62.84914595,12.50518135,461.516291,76,9.4,14.42,50.5,495.6318099,18,0.294379284,1,1.8,9.76,22,0.633244136,8,31855.93046,23379.88229,55235.81275,3711.7,,4.807901554,1667.52,5841.84,8708.16
69,762,393,41.13083617,28.83333333,6.31167979,12.28377953,40.52690289,15.82454068,59.78084198,12.72834646,356.1687526,76,9.4,14.42,50.5,494.6318099,18,0.294379284,1,1.8,9.76,22,0.316622068,8,31341.69716,23493.8709,54835.56806,4012.5,,5.265748031,2194.56,7695.2,11460.48
70,769,354,42.75576181,28.51755527,6.341482445,12.26910273,40.63459038,16.26514954,62.12371984,12.91417425,357.1687526,76,9.4,14.42,50.5,493.6318099,19,0.294379284,1,1.8,9.76,22,0.592260424,8,32879.18083,21991.79682,54870.97766,3672,,4.77503251,1661.04,5851.92,8674.32
71,790,369,40.57420801,28.26075949,6.329873418,12.21921519,40.7664557,15.85607595,60.20543945,13.13797468,497.0546354,76,9.4,14.42,50.5,459.516291,19,0.335131959,1,2,9.76,22,0.294379284,8,32053.62433,22215.80716,54269.43148,4036.4,,5.109367089,2528,8000.96,11881.6
72,790,360,41.10618673,28.11898734,6.239367089,12.15635443,40.91962025,16.24392405,59.53710437,13.27468354,497.0546354,75,9.4,14.42,50.5,458.516291,19,0.324032553,1,2,9.76,22.5,0.379531044,8,32473.88752,21433.35757,53907.24509,4039.6,,5.113417722,2528,7886.56,11881.6
73,785,374,40.9625477,28.66242038,6.211974522,12.1851465,41.03821656,16.68433121,56.85315943,13.36942675,490.2885693,76,9.4,14.42,50.5,497.0546354,19,0.324032553,1,2,9.76,22.5,0.107958561,8,32155.59995,21263.08163,53418.68157,4359.4,,5.553375796,2512,7802.24,11806.4
74,775,365,42.23105409,29.06322581,6.155225806,12.21501935,41.12645161,16.59548387,56.08784346,13.50322581,438.7452643,76,9.4,14.42,50.5,496.0546354,19,0.324032553,1,2,9.76,22.5,0.511585168,8,32729.06692,20472.06286,53201.12978,4080.4,,5.265032258,2480,7632.48,11656
